,Artist,Track,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Comments
6980,Sertab Erener,Yanarım,0.508,0.585,5.0,-7.049,0.0446,0.678,0.0,0.141,0.502,146.029,195800.0,12412100.0,62693.0,2004.0
6981,Ramon Ayala Y Sus Bravos Del Norte,Mi Piquito De Oro,0.701,0.85,10.0,-3.776,0.0423,0.0826,0.0,0.0447,0.92,106.171,128773.0,3312890.0,25375.0,228.0
6982,Ramon Ayala Y Sus Bravos Del Norte,Solo Una Patada,0.833,0.477,5.0,-7.692,0.0531,0.413,0.000286,0.106,0.74,84.93,165923.0,47178.0,530.0,12.0
6983,Ramon Ayala Y Sus Bravos Del Norte,Casas De Madera,0.542,0.664,9.0,-6.441,0.124,0.0445,6.48e-05,0.0568,0.772,203.059,264373.0,72378.0,434.0,14.0
6984,Ramon Ayala Y Sus Bravos Del Norte,Rinconcito En El Cielo,0.671,0.831,9.0,-4.512,0.0458,0.0822,0.000645,0.329,0.785,109.425,213573.0,719407.0,5535.0,157.0
6985,Ramon Ayala Y Sus Bravos Del Norte,Tragos Amargos,0.568,0.498,0.0,-5.75,0.0654,0.544,3.7e-06,0.0777,0.599,155.121,164027.0,4153707.0,32861.0,163.0
6986,Ramon Ayala Y Sus Bravos Del Norte,Bonita Finca De Adobe,0.639,0.775,8.0,-5.859,0.0524,0.0894,0.0,0.314,0.849,104.628,178533.0,1396220.0,9035.0,108.0
6987,Ramon Ayala Y Sus Bravos Del Norte,Para Poder Llegar A Ti,0.752,0.726,9.0,-3.639,0.109,0.209,0.0,0.0525,0.968,168.255,179507.0,138036.0,1535.0,167.0
6988,Ramon Ayala Y Sus Bravos Del Norte,Un Puño De Tierra,0.539,0.717,9.0,-6.819,0.196,0.103,3.63e-05,0.071,0.87,208.029,226360.0,16194.0,48.0,0.0
6989,Ramon Ayala Y Sus Bravos Del Norte,El Disgusto,0.673,0.764,8.0,-5.22,0.0462,0.0529,2.31e-05,0.0898,0.737,109.642,147240.0,16560.0,172.0,10.0
6990,Ramon Ayala Y Sus Bravos Del Norte,Chaparra De Mi Amor,0.724,0.592,10.0,-5.468,0.0629,0.539,0.000682,0.072,0.815,111.826,189853.0,813170.0,2913.0,55.0
6991,Ace of Base,All That She Wants,0.798,0.625,11.0,-9.689,0.0548,0.00547,7.98e-05,0.103,0.858,93.764,211213.0,129240943.0,922982.0,22728.0
6992,Ace of Base,The Sign,0.808,0.786,4.0,-6.897,0.0447,0.00928,0.0701,0.0574,0.899,96.987,191240.0,109856522.0,693365.0,25438.0
6993,Ace of Base,Beautiful Life,0.749,0.988,0.0,-5.266,0.0387,0.202,0.00631,0.17,0.749,135.015,221187.0,124922588.0,620684.0,18322.0
6994,Ace of Base,Life Is a Flower,0.635,0.804,11.0,-6.007,0.0361,0.0168,0.0,0.229,0.565,96.013,227040.0,8097877.0,35707.0,1748.0
6995,Ace of Base,Don't Turn Around,0.745,0.771,4.0,-8.231,0.0755,0.00104,0.387,0.0574,0.752,95.623,230187.0,33773767.0,185088.0,6268.0
6996,Ace of Base,Happy Nation,0.668,0.864,1.0,-5.129,0.0367,0.00121,0.0043,0.0785,0.672,96.049,255413.0,88864060.0,506365.0,23417.0
6997,Ace of Base,Wheel of Fortune,0.785,0.79,10.0,-6.836,0.0555,0.0366,0.0223,0.0845,0.815,91.753,234107.0,34528717.0,139774.0,4662.0
6998,Ace of Base,Cruel Summer,0.721,0.842,1.0,-1.97,0.0278,0.0129,0.00206,0.0734,0.88,109.968,215360.0,1306443.0,16415.0,814.0
6999,Ace of Base,"Always Have, Always Will",0.679,0.913,10.0,-2.701,0.0293,0.0322,0.0,0.0459,0.951,138.048,226040.0,3150991.0,7619.0,359.0
7000,Ace of Base,Lucky Love,0.769,0.662,5.0,-7.238,0.0319,0.129,0.00102,0.0814,0.863,104.104,175747.0,8790417.0,31106.0,1080.0
7002,Tom Jones,Sexbomb,0.801,0.876,8.0,-3.94,0.0446,0.144,1.38e-05,0.104,0.932,122.979,211893.0,18198683.0,136728.0,2803.0
7003,Tom Jones,She's A Lady,0.51,0.876,2.0,-9.101,0.161,0.212,0.0,0.248,0.624,119.702,174147.0,427509.0,5315.0,307.0
7006,Tom Jones,(It Looks Like) I'll Never Fall In Love Again,0.321,0.331,4.0,-13.081,0.0293,0.736,1.58e-06,0.0854,0.313,147.532,257440.0,3268702.0,40529.0,1800.0
7007,Tom Jones,Help Yourself,0.616,0.731,4.0,-7.282,0.0569,0.417,0.000716,0.725,0.909,91.444,170893.0,389584.0,2883.0,160.0
7008,Tom Jones,Burning Down The House,0.796,0.819,11.0,-5.806,0.043,0.0131,0.00138,0.0446,0.823,109.942,219467.0,6666475.0,61904.0,2415.0
7009,Tom Jones,Mama Told Me Not To Come,0.634,0.752,0.0,-5.524,0.0833,0.0953,0.0,0.104,0.599,122.434,180360.0,268929.0,2347.0,111.0
7013,Michael Bolton,Said I Loved You...But I Lied,0.547,0.569,10.0,-8.644,0.0271,0.189,7.05e-06,0.156,0.432,159.713,304867.0,216733477.0,868876.0,38588.0
7015,Michael Bolton,Go the Distance,0.363,0.435,2.0,-8.141,0.0307,0.399,0.0,0.219,0.148,125.892,280640.0,5840643.0,51818.0,4716.0
7016,Michael Bolton,A Love So Beautiful,0.268,0.361,1.0,-11.701,0.0263,0.186,0.000171,0.0972,0.0768,61.299,245827.0,435040.0,5142.0,223.0
7019,Michael Bolton,Love Is a Wonderful Thing,0.727,0.824,2.0,-8.915,0.0394,0.00812,1.58e-06,0.0922,0.935,125.104,282933.0,4864712.0,19151.0,1333.0
7020,Michael Bolton,Fathers & Daughters,0.502,0.138,0.0,-9.245,0.0401,0.927,5.88e-05,0.0754,0.222,139.866,209053.0,4858098.0,47382.0,1261.0
7021,James Brown,The Boss,0.736,0.354,1.0,-14.709,0.0475,0.579,0.0103,0.0757,0.62,97.924,194867.0,12448055.0,90754.0,4393.0
7022,James Brown,Get Up Offa That Thing,0.864,0.813,2.0,-6.909,0.361,0.217,0.0,0.874,0.72,118.006,239733.0,1629669.0,16402.0,904.0
7023,James Brown,People Get Up And Drive Your Funky Soul - Remix,0.8,0.802,0.0,-5.439,0.166,0.23,0.00379,0.0971,0.82,97.586,544640.0,31706776.0,414535.0,2301.0
7024,James Brown,"It's A Man's, Man's, Man's World",0.404,0.679,3.0,-5.398,0.0909,0.692,1.01e-05,0.0745,0.878,184.53,175853.0,94244655.0,1799606.0,20590.0
7025,James Brown,Papa's Got A Brand New Bag,0.738,0.541,4.0,-9.508,0.09,0.292,1.15e-05,0.0861,0.925,127.942,128173.0,576340.0,6109.0,365.0
7026,James Brown,The Payback,0.868,0.644,6.0,-10.987,0.194,0.159,0.00018,0.901,0.785,97.933,459893.0,682188.0,9533.0,512.0
7028,James Brown,Unchained (The Payback / Untouchable),0.563,0.917,8.0,-4.753,0.158,0.128,8.47e-06,0.404,0.573,92.074,171573.0,15531224.0,240697.0,4470.0
7029,James Brown,Get Up (I Feel Like Being A) Sex Machine,0.838,0.616,10.0,-8.351,0.0711,0.18,7.17e-06,0.193,0.848,107.695,316333.0,3091598.0,49343.0,998.0
7030,James Brown,"Living in America - From ""Rocky IV"" Soundtrack",0.751,0.756,0.0,-10.363,0.0361,0.0013,0.00368,0.053,0.775,113.909,282240.0,1914130.0,19181.0,1400.0
7031,João Gilberto,The Girl From Ipanema,0.664,0.194,5.0,-15.487,0.0357,0.909,3.85e-05,0.0829,0.443,129.863,321827.0,482293.0,6768.0,174.0
7032,João Gilberto,Corcovado (Quiet Nights Of Quiet Stars),0.572,0.152,9.0,-15.658,0.0408,0.961,0.000432,0.136,0.339,127.497,254667.0,2528862.0,28189.0,688.0
7034,João Gilberto,Corcovado (Quiet Nights Of Quiet Stars) - Single Version,0.531,0.198,9.0,-15.811,0.039,0.952,0.00267,0.119,0.437,128.038,139987.0,2528862.0,28189.0,688.0
7035,João Gilberto,Para Machuchar Meu Coracao,0.612,0.156,3.0,-15.823,0.0396,0.962,0.0026,0.102,0.415,131.09,304827.0,1001372.0,6523.0,181.0
7037,João Gilberto,The Girl From Ipanema - Single Version,0.696,0.17,5.0,-16.603,0.0385,0.943,0.00154,0.106,0.523,130.967,167533.0,18294619.0,160725.0,5061.0
7038,João Gilberto,Sorriu Para Mim,0.501,0.233,7.0,-18.992,0.0465,0.734,0.124,0.163,0.559,90.792,185507.0,112613.0,1394.0,3.0
7039,João Gilberto,Doralice,0.608,0.243,2.0,-13.401,0.0927,0.946,0.000469,0.117,0.776,158.48,164827.0,792525.0,4372.0,99.0
7040,João Gilberto,Cordeiro de nana,0.636,0.159,2.0,-22.981,0.0559,0.977,0.389,0.0831,0.334,113.477,76293.0,7754.0,240.0,14.0
7041,Soft Cell,Tainted Love,0.5,0.501,0.0,-8.284,0.0376,0.462,0.0,0.26,0.623,144.438,153800.0,43634403.0,470951.0,10781.0
7042,Soft Cell,Where Did Our Love Go?,0.645,0.246,7.0,-15.037,0.0424,0.272,0.000343,0.13,0.392,143.693,193800.0,1535033.0,12383.0,573.0
7043,Soft Cell,"Say Hello, Wave Goodbye - 7"" Single Version",0.188,0.497,0.0,-9.778,0.0398,0.216,0.0,0.152,0.527,205.253,323867.0,5231008.0,25331.0,2605.0
7044,Soft Cell,Tainted Love / Where Did Our Love Go - Extended Version / Medley,0.698,0.278,7.0,-11.88,0.0769,0.344,0.00652,0.149,0.387,145.274,539693.0,25634808.0,150047.0,1488.0
7045,Soft Cell,"Torch - 7"" Single Version",0.569,0.566,3.0,-10.311,0.0351,0.382,1.4e-06,0.202,0.641,122.513,248267.0,91592.0,1627.0,183.0
7046,Soft Cell,Tainted Love - Jamie Jones 4Z Remix,0.795,0.744,7.0,-7.586,0.0556,0.0234,0.508,0.105,0.255,125.0,297500.0,154016.0,2855.0,87.0
7047,Soft Cell,Purple Zone,0.6,0.823,0.0,-7.722,0.0389,0.000675,0.00221,0.0915,0.455,126.977,191368.0,1315793.0,27920.0,2656.0
7048,Soft Cell,Sex Dwarf - Original Version,0.502,0.632,5.0,-12.973,0.0567,0.157,0.00013,0.184,0.673,148.065,316333.0,131494.0,2347.0,173.0
7050,Soft Cell,Tears Run Rings,0.667,0.609,10.0,-15.024,0.0286,0.0291,0.0106,0.114,0.933,135.126,343973.0,908303.0,7770.0,363.0
7061,Jorge Ben Jor,Camarão Que Dorme a Onda Leva,0.723,0.694,0.0,-6.694,0.0802,0.313,0.0,0.052,0.739,106.359,168948.0,2821749.0,21053.0,348.0
7062,Jorge Ben Jor,Chove Chuva,0.729,0.401,10.0,-9.458,0.0418,0.644,0.0,0.0757,0.549,134.704,184093.0,9483893.0,174676.0,4229.0
7063,Jorge Ben Jor,"Oba, Lá Vem Ela",0.564,0.521,0.0,-8.619,0.0461,0.606,0.000409,0.437,0.469,98.872,254373.0,1339487.0,43665.0,626.0
7064,Jorge Ben Jor,"Mas, Que Nada!",0.512,0.511,2.0,-8.645,0.03,0.662,0.000199,0.209,0.589,89.499,179293.0,7489391.0,39403.0,1093.0
7065,Jorge Ben Jor,Menina Mulher Da Pele Preta,0.591,0.449,1.0,-15.547,0.0754,0.61,0.0571,0.255,0.976,134.864,177200.0,6113430.0,43091.0,1303.0
7066,Jorge Ben Jor,Balança Pema,0.615,0.319,4.0,-9.178,0.0376,0.639,0.0,0.142,0.828,90.998,86760.0,106746.0,616.0,18.0
7067,Jorge Ben Jor,Menina Mulher Da Pele Preta / O Telefone Tocou Novamente - Ao Vivo,0.435,0.674,4.0,-9.281,0.0952,0.143,2.34e-06,0.668,0.937,82.023,298027.0,297581.0,5652.0,198.0
7068,Jorge Ben Jor,O Telefone Tocou Novamente,0.586,0.652,0.0,-8.482,0.0382,0.655,0.0,0.139,0.625,88.157,229627.0,2252800.0,63244.0,1899.0
7069,Jorge Ben Jor,Os Alquimistas Estão Chegando Os Alquimistas,0.544,0.721,9.0,-13.429,0.0441,0.435,0.000805,0.452,0.739,100.359,195267.0,760145.0,8394.0,292.0
7070,Jorge Ben Jor,Take It Easy My Brother Charles,0.492,0.743,4.0,-5.807,0.135,0.461,0.0,0.0797,0.774,84.929,155667.0,1519367.0,9434.0,246.0
7071,Blue Öyster Cult,(Don't Fear) The Reaper,0.333,0.927,9.0,-8.55,0.0733,0.0029,0.000208,0.297,0.385,141.466,308120.0,59838390.0,537094.0,26087.0
7072,Blue Öyster Cult,Burnin' for You,0.532,0.728,9.0,-9.079,0.0352,0.106,0.0108,0.0849,0.69,134.303,271000.0,33527186.0,223945.0,10589.0
7073,Blue Öyster Cult,Then Came the Last Days of May,0.367,0.609,9.0,-11.221,0.0457,0.301,0.0243,0.196,0.443,149.386,210547.0,2542139.0,28131.0,1749.0
7074,Blue Öyster Cult,Godzilla,0.373,0.869,4.0,-7.719,0.0554,0.164,7.76e-06,0.605,0.696,184.024,221400.0,2539380.0,29792.0,2290.0
7075,Blue Öyster Cult,Cities On Flame with Rock and Roll,0.337,0.886,4.0,-8.607,0.098,0.0716,0.00156,0.204,0.648,177.713,242640.0,2716455.0,22939.0,1707.0
7076,Blue Öyster Cult,Burning for You - Remastered,0.515,0.64,9.0,-9.621,0.0317,0.00191,5.49e-05,0.135,0.675,134.409,268273.0,6041.0,137.0,4.0
7077,Blue Öyster Cult,Veteran of the Psychic Wars,0.453,0.776,0.0,-9.937,0.0432,0.162,3.81e-05,0.349,0.568,85.992,289587.0,4842787.0,39718.0,3007.0
7078,Blue Öyster Cult,(Don't Fear) The Reaper,0.433,0.912,0.0,-10.658,0.0571,0.000462,0.000235,0.261,0.68,141.938,229053.0,59838390.0,537094.0,26087.0
7079,Blue Öyster Cult,Astronomy,0.298,0.581,4.0,-8.133,0.0289,0.381,0.0224,0.172,0.26,89.285,383973.0,143524.0,2680.0,195.0
7080,Blue Öyster Cult,Transmaniacon MC,0.453,0.757,4.0,-10.067,0.0326,0.0877,0.308,0.242,0.755,143.053,200373.0,446804.0,2584.0,287.0
7081,Björk,Army of Me,0.462,0.677,6.0,-9.262,0.0327,0.00786,7.15e-05,0.226,0.468,172.192,234333.0,15997107.0,145614.0,4900.0
7083,Björk,Venus as a Boy,0.617,0.393,1.0,-11.767,0.0353,0.0314,0.00512,0.067,0.84,136.213,282560.0,6394177.0,73956.0,2268.0
7084,Björk,Human Behaviour,0.681,0.65,2.0,-14.637,0.0358,0.0396,0.0358,0.101,0.508,109.454,252360.0,4013291.0,77942.0,3076.0
7085,Björk,Ovule (feat. Shygirl) - Sega Bodega Remix,0.671,0.679,5.0,-7.262,0.106,0.437,4.75e-05,0.47,0.129,103.915,224827.0,83360.0,6471.0,325.0
7086,Björk,Hyperballad,0.519,0.437,7.0,-12.97,0.0325,0.0216,0.000974,0.375,0.0356,134.933,321360.0,87606.0,2590.0,133.0
